baker,series,episode,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
Annetha,1,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Annetha Mills,30,Midwife,Essex,2,IN
David,1,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",David Chambers,31,Entrepreneur,Milton Keynes,3,IN
Edd,1,1,Caramel Cinnamon and Banana Cake,N/A,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,IN
Jasminder,1,1,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,NA,IN
Jonathan,1,1,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,Jonathan Shepherd,25,Research Analyst,St Albans,9,IN
Lea,1,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Lea Harris,51,Retired,"Midlothian, Scotland",10,OUT
Louise,1,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Louise Brimelow,44,Police Officer,Manchester,NA,IN
Mark,1,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Mark Whithers,48,Bus Driver,South Wales,NA,OUT
Miranda,1,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",8,IN
Ruth,1,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,IN
Annetha,1,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,Annetha Mills,30,Midwife,Essex,7,OUT
David,1,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,David Chambers,31,Entrepreneur,Milton Keynes,8,IN
Edd,1,2,Oatmeal Raisin Cookie,Pink Macarons,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,6,IN
Jasminder,1,2,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,2,IN
Jonathan,1,2,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,Jonathan Shepherd,25,Research Analyst,St Albans,1,IN
Louise,1,2,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",Louise Brimelow,44,Police Officer,Manchester,4,OUT
Miranda,1,2,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,IN
Ruth,1,2,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",5,IN
David,1,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",David Chambers,31,Entrepreneur,Milton Keynes,4,IN
Edd,1,3,Olive Bread,Tomato and Mozzarella,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,IN
Jasminder,1,3,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,5,IN
Jonathan,1,3,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",Jonathan Shepherd,25,Research Analyst,St Albans,6,OUT
Miranda,1,3,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,IN
Ruth,1,3,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",2,IN
David,1,4,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",David Chambers,31,Entrepreneur,Milton Keynes,5,OUT
Edd,1,4,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,3,IN
Jasminder,1,4,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,2,IN
Miranda,1,4,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,IN
Ruth,1,4,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",4,IN
Edd,1,5,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,2,IN
Jasminder,1,5,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,4,OUT
Miranda,1,5,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,IN
Ruth,1,5,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",3,IN
Edd,1,6,Cinnamon and Banana Cake,NA,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,NA,WINNER
Miranda,1,6,Lemon Cupcake,Eliminated after signature,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",NA,Runner-up
Ruth,1,6,"Mint, Ginger and Blackberry Cake",NA,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,Runner-up
Ben,2,1,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Ben Frazer,31,Graphic Designer,Northampton,2,IN
Holly,2,1,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,Holly Bell,31,Advertising executive,Leicester,1,STAR BAKER
Ian,2,1,Apple and Cinnamon Cupcakes,UNKNOWN,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,IN
Janet,2,1,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN
Jason,2,1,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,Jason White,19,Civil Engineering Student,Croydon,6,IN
"""Jo""",2,1,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA,NA,NA,NA,NA
Keith,2,1,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,Keith Batsford,31,House husband,"Arlesey, Bedfordshire",12,OUT
Mary-Anne,2,1,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",4,IN
Robert,2,1,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,Robert Billington,25,Photographer,London,3,IN
Simon,2,1,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,Simon Blackwell,31,Rugby Coach,Norfolk,9,IN
Urvashi,2,1,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,Urvashi Roe,40,Head of Marketing,"Enfield, London",7,IN
Yasmin,2,1,Cardamom and Pomegranate Cupcakes,UNKNOWN,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",5,IN
Ben,2,2,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,Ben Frazer,31,Graphic Designer,Northampton,1,IN
Holly,2,2,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,Holly Bell,31,Advertising executive,Leicester,4,IN
Ian,2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,IN
Janet,2,2,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN
Jason,2,2,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,Jason White,19,Civil Engineering Student,Croydon,3,STAR BAKER
"""Jo""",2,2,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA,NA,NA,NA,NA
Mary-Anne,2,2,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",9,IN
Robert,2,2,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",Robert Billington,25,Photographer,London,5,IN
Simon,2,2,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Simon Blackwell,31,Rugby Coach,Norfolk,11,OUT
Urvashi,2,2,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,Urvashi Roe,40,Head of Marketing,"Enfield, London",7,IN
Yasmin,2,2,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",6,IN
Ben,2,3,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,Ben Frazer,31,Graphic Designer,Northampton,3,IN
Holly,2,3,Picnic Loaf,Stilton and Walnut Rolls,Holly Bell,31,Advertising executive,Leicester,6,IN
Ian,2,3,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,OUT
Janet,2,3,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN
Jason,2,3,Cheese and Onion Tear and Share Loaf,UNKNOWN,Jason White,19,Civil Engineering Student,Croydon,7,IN
"""Jo""",2,3,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA,NA,NA,NA,NA
Mary-Anne,2,3,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",5,IN
Robert,2,3,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Robert Billington,25,Photographer,London,4,IN
Urvashi,2,3,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Urvashi Roe,40,Head of Marketing,"Enfield, London",9,OUT
Yasmin,2,3,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",2,STAR BAKER
Ben,2,4,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Ben Frazer,31,Graphic Designer,Northampton,5,OUT
Holly,2,4,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Holly Bell,31,Advertising executive,Leicester,3,STAR BAKER
Janet,2,4,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",4,IN
Jason,2,4,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",Jason White,19,Civil Engineering Student,Croydon,1,STAR BAKER
"""Jo""",2,4,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA,NA,NA,NA,NA
Mary-Anne,2,4,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",2,IN
Robert,2,4,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Robert Billington,25,Photographer,London,7,IN
Yasmin,2,4,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",6,IN
Holly,2,5,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,Holly Bell,31,Advertising executive,Leicester,4,IN
Janet,2,5,Chicken and Chestnut Pie,Rhubarb Meringue Pie,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",1,STAR BAKER
Jason,2,5,Brown Down Chicken Pie,Plum Meringue Pie,Jason White,19,Civil Engineering Student,Croydon,7,OUT
"""Jo""",2,5,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA,NA,NA,NA,NA
Mary-Anne,2,5,Chicken and Bacon Pie,Midnight Meringue,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",2,IN
Robert,2,5,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,Robert Billington,25,Photographer,London,3,OUT
Yasmin,2,5,Family Fish Pie,Peach and Raspberry Meringue Pie,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",5,IN
Holly,2,6,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,Holly Bell,31,Advertising executive,Leicester,3,IN
Janet,2,6,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",5,IN
"""Jo""",2,6,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA,NA,NA,NA,NA
Mary-Anne,2,6,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",4,IN
Yasmin,2,6,Baked Amaretto Cheesecake,Rose Croquembouche,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",2,OUT
Holly,2,7,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",Holly Bell,31,Advertising executive,Leicester,1,IN
Janet,2,7,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",4,OUT
"""Jo""",2,7,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA,NA,NA,NA,NA
Mary-Anne,2,7,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",2,IN
Holly,2,8,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Holly Bell,31,Advertising executive,Leicester,2,Runner-up
"""Jo""",2,8,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA,NA,NA,NA,NA
Mary-Anne,2,8,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",3,Runner-up
Brendan,3,1,"Plum, Sour Cherry & Walnut",UNKNOWN,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,10,IN
Cathryn,3,1,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,IN
Danny,3,1,"Plum, Ginger & Orange",UNKNOWN,Danny Bryden,45,Intensive care consultant,Sheffield,7,IN
James,3,1,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",James Morton,21,Medical student,"Hillswick, Shetland Islands",2,IN
John,3,1,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,John Whaite,22,Law student,Wigan,11,IN
Manisha,3,1,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,Manisha Parmar,27,Nursery nurse,Leicester,6,IN
Natasha,3,1,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,Natasha Stringer,36,Midwife,"Tamworth, Staffordshire",12,OUT
Peter,3,1,"Pear, Muscat & Chocolate",Jubilee Cake,Peter Maloney,43,Sales manager,"Windsor, Berkshire",3,IN
Ryan,3,1,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,Ryan Chong,38,Photographer,Bristol,8,IN
Sarah-Jane,3,1,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",1,IN
Stuart,3,1,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",9,IN
Victoria,3,1,Pear and Pecan,Blackbird Pie Cake,Victoria Chester,50,CEO of the charity Plantlife,Somerset,4,STAR BAKER
Brendan,3,2,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,4,IN
Cathryn,3,2,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",8,IN
Danny,3,2,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,Danny Bryden,45,Intensive care consultant,Sheffield,3,IN
James,3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",James Morton,21,Medical student,"Hillswick, Shetland Islands",2,IN
John,3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",John Whaite,22,Law student,Wigan,1,STAR BAKER
Manisha,3,2,Indian FlatbreadsItalian Flatbreads,UNKNOWN,Manisha Parmar,27,Nursery nurse,Leicester,6,IN
Peter,3,2,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",Peter Maloney,43,Sales manager,"Windsor, Berkshire",11,OUT
Ryan,3,2,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",Ryan Chong,38,Photographer,Bristol,5,IN
Sarah-Jane,3,2,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",10,IN
Stuart,3,2,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",9,IN
Victoria,3,2,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",Victoria Chester,50,CEO of the charity Plantlife,Somerset,7,IN
Brendan,3,3,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,9,IN
Cathryn,3,3,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,IN
Danny,3,3,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",Danny Bryden,45,Intensive care consultant,Sheffield,2,IN
James,3,3,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",James Morton,21,Medical student,"Hillswick, Shetland Islands",1,STAR BAKER
John,3,3,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",John Whaite,22,Law student,Wigan,6,IN
Manisha,3,3,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,Manisha Parmar,27,Nursery nurse,Leicester,10,IN
Ryan,3,3,Spiced Pear Tarte Tatin,UNKNOWN,Ryan Chong,38,Photographer,Bristol,5,IN
Sarah-Jane,3,3,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",8,IN
Stuart,3,3,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",7,IN
Victoria,3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,Victoria Chester,50,CEO of the charity Plantlife,Somerset,4,OUT
Brendan,3,4,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,1,STAR BAKER
Cathryn,3,4,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,IN
Danny,3,4,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",Danny Bryden,45,Intensive care consultant,Sheffield,2,IN
James,3,4,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",James Morton,21,Medical student,"Hillswick, Shetland Islands",5,IN
John,3,4,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,John Whaite,22,Law student,Wigan,6,IN
Manisha,3,4,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,Manisha Parmar,27,Nursery nurse,Leicester,9,IN
Ryan,3,4,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",Ryan Chong,38,Photographer,Bristol,7,IN
Sarah-Jane,3,4,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",4,IN
Stuart,3,4,Black Forest Torte,Choca Blocka Mocha Meringue,Stuart Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",8,OUT
Brendan,3,5,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,3,IN
Cathryn,3,5,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",1,IN
Danny,3,5,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,Danny Bryden,45,Intensive care consultant,Sheffield,7,IN
James,3,5,Four Pig Wellington,Sweet Potato Pie,James Morton,21,Medical student,"Hillswick, Shetland Islands",6,IN
John,3,5,Venison and Haggis Wellington,Star-Spangled Pecan Pie,John Whaite,22,Law student,Wigan,2,IN
Manisha,3,5,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,Manisha Parmar,27,Nursery nurse,Leicester,5,OUT
Ryan,3,5,Curry Spiced Seabass Wellington,Key Lime Pie,Ryan Chong,38,Photographer,Bristol,8,STAR BAKER
Sarah-Jane,3,5,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",4,IN
Brendan,3,6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,1,STAR BAKER
Cathryn,3,6,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",3,IN
Danny,3,6,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",Danny Bryden,45,Intensive care consultant,Sheffield,2,IN
James,3,6,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",James Morton,21,Medical student,"Hillswick, Shetland Islands",7,IN
John,3,6,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,John Whaite,22,Law student,Wigan,5,IN
Ryan,3,6,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",Ryan Chong,38,Photographer,Bristol,6,IN
Sarah-Jane,3,6,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",4,IN
Brendan,3,7,Chelsea Bunskis,Black Forest Christmas Stollen,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,4,IN
Cathryn,3,7,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,Cathryn Dresser,27,Shop assistant,"Pease Pottage, West Sussex",5,IN
Danny,3,7,Bakewell Chelsea Buns,European Christmas Wreath,Danny Bryden,45,Intensive care consultant,Sheffield,2,STAR BAKER
James,3,7,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,James Morton,21,Medical student,"Hillswick, Shetland Islands",1,IN
John,3,7,Cherry and Almond Saffron Buns,Marzipan Stollen,John Whaite,22,Law student,Wigan,3,IN
Ryan,3,7,Lardy Cakes,Char Siu Bao,Ryan Chong,38,Photographer,Bristol,6,OUT
Sarah-Jane,3,7,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,Sarah-Jane Willis,28,Vicar's wife,"Bewbush, West Sussex",7,OUT
Brendan,3,8,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,Brendan Lynch,63,Recruitment consultant,Sutton Coldfield,2,IN
